PassengerId,Survived,PublicLeaderboardInd
1,0,1
2,1,1
3,1,1
4,1,1
5,0,1
6,0,1
7,0,1
8,0,1
9,1,1
10,1,1
11,1,1
12,1,1
13,0,1
14,0,1
15,0,1
16,1,1
17,0,1
18,1,1
19,0,1
20,1,1
21,0,1
22,1,1
23,1,1
24,1,1
25,0,1
26,1,1
27,0,1
28,0,1
29,1,1
30,0,1
31,0,1
32,1,1
33,1,1
34,0,1
35,0,1
36,0,1
37,1,1
38,0,1
39,0,1
40,1,1
41,0,1
42,0,1
43,0,1
44,1,1
45,1,1
46,0,1
47,0,1
48,1,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,0,1
56,1,1
57,1,1
58,0,1
59,1,1
60,0,1
61,0,1
62,1,1
63,0,1
64,0,1
65,0,1
66,1,1
67,1,1
68,0,1
69,1,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,1,1
76,0,1
77,0,1
78,0,1
79,1,1
80,1,1
81,0,1
82,1,1
83,1,1
84,0,1
85,1,1
86,1,1
87,0,1
88,0,1
89,1,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,0,1
98,1,1
99,1,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,1,1
108,1,1
109,0,1
110,1,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,1,1
125,0,1
126,1,1
127,0,1
128,1,1
129,1,1
130,0,1
131,0,1
132,0,1
133,0,1
134,1,1
135,0,1
136,0,1
137,1,1
138,0,1
139,0,1
140,0,1
141,0,1
142,1,1
143,1,1
144,0,1
145,0,1
146,0,1
147,1,1
148,0,1
149,0,1
150,0,1
151,0,1
152,1,1
153,0,1
154,0,1
155,0,1
156,0,1
157,1,1
158,0,1
159,0,1
160,0,1
161,0,1
162,1,1
163,0,1
164,0,1
165,0,1
166,1,1
167,1,1
168,0,1
169,0,1
170,0,1
171,0,1
172,0,1
173,1,1
174,0,1
175,0,1
176,0,1
177,0,1
178,0,1
179,0,1
180,0,1
181,0,1
182,0,1
183,0,1
184,1,1
185,1,1
186,0,1
187,1,1
188,1,1
189,0,1
190,0,1
191,1,1
192,0,1
193,1,1
194,1,1
195,1,1
196,1,1
197,0,1
198,0,1
199,1,1
200,0,1
201,0,1
202,0,1
203,0,1
204,0,1
205,1,1
206,0,1
207,0,1
208,1,1
209,1,1
210,1,1
211,0,1
212,1,1
213,0,1
214,0,1
215,0,1
216,1,1
217,1,1
218,0,1
219,1,1
220,0,1
221,1,1
222,0,1
223,0,1
224,0,1
225,1,1
226,0,1
227,1,1
228,0,1
229,0,1
230,0,1
231,1,1
232,0,1
233,0,1
234,1,1
235,0,1
236,0,1
237,0,1
238,1,1
239,0,1
240,0,1
241,0,1
242,1,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,1,1
249,1,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,0,1
262,1,1
263,0,1
264,0,1
265,0,1
266,0,1
267,0,1
268,1,1
269,1,1
270,1,1
271,0,1
